goal ,pledged ,backers ,currency ,main_category 
1100,1286,25,1,7
15000,17422,111,1,7
360,230,6,1,7
46000,808,18,1,7
5400,350,2,1,7
15000,0,0,1,7
30000,0,0,1,7
17000,890,6,1,7
4000,0,0,1,7
30000,790,6,1,7
150,0,0,1,7
15000,10,1,1,7
290,984,34,1,7
1500,2405,53,1,7
14000,100,2,1,7
1000,0,0,1,7
3500,4676,76,1,7
2499,10,1,1,7
2000,2070,63,1,7
300,337,19,1,7
1000,4171,36,1,7
1250,1610,55,1,7
2000,20,2,1,7
4500,175,4,1,7
300,507,12,1,7
5000,1,1,1,7
5,2,2,1,7
3400,3630,69,1,7
15000,1511,18,1,7
1700,2021,37,1,7
6000,55448,973,1,7
2400,3086,61,1,7
3500,31607,415,1,7
2000,501,3,1,7
25000,21310,172,1,7
3300,195,7,1,7
25000,0,0,1,7
8000,50,1,1,7
950,985,29,1,7
26000,0,0,1,7
1500,621,8,1,7
1500,2567,47,1,7
40000,372,7,1,7
1500,1575,29,1,7
5000,0,0,1,7
8200,9000,77,1,7
5000,0,0,1,7
500,105,1,1,7
2500,5670,98,1,7
100,281,23,1,7
8000,100,1,1,7
2500,4245,64,1,7
5000,6012,62,1,7
2500,3749,76,1,7
3000,3027,20,1,7
15000,1504,28,1,7
9000,10168,81,1,7
7500,0,0,1,7
3000,4689,73,1,7
3500,187,6,1,7
10000,331,14,1,7
2100,2162,44,1,7
50000,280,2,1,7
35000,155,3,1,7
1570,358,4,1,7
12500,3075,55,1,7
4000,165,6,1,7
300,30,2,1,7
500,1854,72,1,7
5000,41,3,1,7
2500,168,5,1,7
6000,0,0,1,7
10000,150,3,1,7
5000,401,7,1,7
4000,36,5,1,7
3000,20,2,1,7
600,634,22,1,7
5000,126,3,1,7
4000,330,9,1,7
2000,2200,26,1,7
9000,2910,18,1,7
75,411,15,1,7
8000,12002,102,1,7
250,592,31,1,7
4000,4565,68,1,7
100,103,10,1,7
1900,0,0,1,7
7300,7410,146,1,7
3500,3528,40,1,7
1500,1855,36,1,7
1000000,53422,264,1,7
26400,116553,998,1,7
4000,4646,92,1,7
100,105,7,1,7
500,501,24,1,7
100,139,24,1,7
2350,2541,29,1,7
1500,3082,49,1,7
1500,1556,58,1,7
1500,0,0,1,7
1000,67,6,1,7
1000,7274,191,1,7
1000,0,0,1,7
10000,304,6,1,7
1600,2110,32,1,7
500,10,1,1,7
1600,510,12,1,7
550,55,1,1,7
600,1300,28,1,7
2500,50,1,1,7
5000,5,1,1,7
1000,338,8,1,7
3500,635,11,1,7
430,684,18,1,7
4,205,12,1,7
800,156,7,1,7
35000,445,11,1,7
20000,39562,443,1,7
40000,1,1,1,7
2000,2205,39,1,7
5000,0,0,1,7
6000,225,6,1,7
4000,1870,32,1,7
4000,0,0,1,7
500,5,4,1,7
300,146,9,1,7
900,0,0,1,7
4300,5307,39,1,7
500,1046,25,1,7
